,pred
0,11.27702208305814
1,11.461648811474186
2,22.679535820663563
3,54.30306890937121
4,105.34153932413027
5,169.56389670005402
6,365.21860885184213
7,461.21996406258086
8,513.3268368339794
9,524.8605941349825
10,497.7810559827543
11,504.25423243404725
12,465.30989970488133
13,429.06338371697683
14,411.00844847332513
15,324.4061951709725
16,245.94208697497615
17,178.01234771208223
18,124.60404753955498
19,60.61422908698942
20,27.81058275891836
21,13.83393995305227
22,7.69386517528808
23,5.307722002402268
24,4.314734493246916
25,16.739618243134373
26,73.67337809162217
27,184.7108189743777
28,330.34142764305886
29,120.42374203936602
30,105.6323309137478
31,137.55911805290683
32,170.0898522981454
33,103.93788123316422
34,102.33405859527942
35,196.51633764396513
36,295.79651730197224
37,613.5755944184435
38,600.2475138377591
39,412.0566279710264
40,275.97550140633814
41,202.77454787769173
42,129.1795222673157
43,75.87310792508718
44,28.88322077265517
45,14.36841051370446
46,8.23793642081294
47,4.813345485320795
48,5.297102826739758
49,16.70598362774976
50,77.42547718786008
51,196.5967685806002
52,491.2404331635662
53,242.24143170626004
54,139.64586880139515
55,144.49055802788254
56,203.00545015550972
57,208.88219013862636
58,204.56621442579814
59,206.7313690648226
60,323.6820741859656
61,650.0044119203487
62,647.1219063253927
63,418.46801414981843
64,307.9877931071905
65,237.4880129761996
66,154.6323950111223
67,81.50495708334924
68,35.82471698149409
69,15.807742320871794
70,8.009245016247581
71,5.903256164968148
72,4.405554495508445
73,17.497620188119775
74,115.36681982744535
75,327.52316415334167
76,529.5068412479479
77,227.36926744678013
78,148.60995052635013
79,167.4811289234403
80,222.02177943671336
81,205.93582534784028
82,215.3342954773294
83,216.02125007018606
84,271.47932790048117
85,574.6244696993163
86,571.4393065105872
87,293.92607356263625
88,201.4610975420915
89,176.7662078983889
90,159.65036634478275
91,86.88056273256862
92,38.74061884777043
93,18.00919935852689
94,9.077569172337839
95,5.54327065025986
96,5.710859414247818
97,22.611540038117045
98,110.4844170662768
99,316.6374537954652
100,511.54688559035435
101,219.68970417823618
102,145.87275606835615
103,173.72878970020426
104,229.31126840283167
105,223.52288792198175
106,190.70191203238105
107,189.85318753803668
108,288.1207386667514
109,555.9158969374905
110,521.0115885569828
111,383.11233424643694
112,312.48990284621834
113,191.45668927872165
114,176.03710040683916
115,105.57069726075548
116,57.0331176041981
